title,author,description,news_category,urlToImage,publishedat,source_id,news_related
The EPA Wants to Roll Back Emissions Controls on Power Plants,Molly Taft,"""The EPA is trying to get out of the climate change business,” says one expert.",business,"https://media.wired.com/photos/68495fddf966af23d5c7150b/191:100/w_1280,c_limit/GettyImages-1360241786.jpg",2025-06-11T20:36:25Z,Wired,True
Far-Right ‘Appeal to Heaven’ Flag Flown Above Government Agency in DC,"Vittoria Elliott, Leah Feiger","The ""Appeal To Heaven"" flag, a popular symbol for Christian nationalists that was waved by January 6 rioters, was raised over the Small Business Administration headquarters last week.",business,"https://media.wired.com/photos/6851e3767f832214c10f48c3/191:100/w_1280,c_limit/GtMhBk7WAAAqgNu.jpeg",2025-06-17T23:03:51Z,Wired,True
Elon Musk’s xAI Is Reportedly Burning Through $1 Billion a Month,Lucas Ropek,Musk's new AI business is a cash-hungry monster.,business,https://gizmodo.com/app/uploads/2025/04/elon-musk-feb-20-2025-1200x675.jpg,2025-06-18T18:10:36Z,Gizmodo.com,True
"Dell Offers Its 4.8 Rated 15.6″ Laptop for Almost 60% to Clear Out Stock, Loaded With Windows 11 Pro",Joe Tilleli,"Dell has it's 3530 laptop designed for home, business, and student use is now almost $800 off on Amazon.",business,https://gizmodo.com/app/uploads/2025/06/Dell-15.622-3530-Laptop--1200x675.jpg,2025-06-05T12:10:38Z,Gizmodo.com,True
HBO and CNN owner Warner Bros Discovery to split in two,None,The media giant will separate its studio and streaming business away from its cable TV networks.,business,https://ichef.bbci.co.uk/news/1024/branded_news/1ff3/live/f74e1aa0-4595-11f0-9a12-b5362979f1a7.jpg,2025-06-10T02:14:23Z,BBC News,True
Nikon’s cameras are about to get more expensive in the US because of tariffs,Andrew Liszewski,"After months of remaining quiet about how President Donald Trump’s tariffs on Chinese-made goods may affect its business, Nikon has announced a “necessary price adjustment” for its products that will come into effect for the US starting on June 23rd, 2025. Th…",business,https://platform.theverge.com/wp-content/uploads/sites/2/2025/04/nikon2.jpg?quality=90&strip=all&crop=0%2C10.740836125969%2C100%2C78.518327748063&w=1200,2025-05-26T19:35:20Z,The Verge,True
"Microsoft should change its Copilot advertising, says watchdog",Tom Warren,"Microsoft’s Copilot advertising has been criticized by an industry watchdog for its productivity claims and confusing use of Copilot branding. The Better Business Bureau’s National Advertising Division (NAD) has reviewed Microsoft’s Copilot advertising, and r…",business,https://platform.theverge.com/wp-content/uploads/sites/2/2025/02/STK259_MICROSOFT_COPILOT_3__D.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,2025-06-17T11:26:56Z,The Verge,True
Waymo is gradually expanding its borders in California,Andrew J. Hawkins,"Waymo is continuing its slow and steady approach to the robotaxi business by gradually expanding its service area in the key cities of San Francisco and Los Angeles. The company said that starting June 17th, it would begin accepting passengers further south a…",business,https://platform.theverge.com/wp-content/uploads/sites/2/2025/06/gettyimages-2219509261.jpg?quality=90&strip=all&crop=0%2C11.120407078361%2C100%2C77.759185843277&w=1200,2025-06-17T15:13:29Z,The Verge,True
Business class flights are a good investment if you're willing to splurge. Here's how 3 airlines compared.,Joi-Marie McKenzie,"In this Saturday edition of Business Insider Today, we're talking about business-class seats on three airlines, plus dairy's comeback and Addison Rae.",business,https://i.insider.com/684343103d5881a51c1af44d?width=1200&format=jpeg,2025-06-07T10:30:01Z,Business Insider,True
"I paid $180 to sit in business class on a 9-hour Amtrak ride from Rochester to NYC. Next time, I'll stick to coach.",Samantha Grindell Pettyjohn,I compared business class and coach on an Amtrak train from New York City to Rochester. The perks in business class weren't worth the extra money.,business,https://i.insider.com/683f390d9d73a0031e8dc788?width=1200&format=jpeg,2025-06-07T12:26:02Z,Business Insider,True
T-Mobile's new business plans throw in free Smart VPN and satellite broadband,"techkritiko@gmail.com (Jay Bonggolto) , Jay Bonggolto",T-Mobile locks prices down for five years with its new business plans.,business,https://cdn.mos.cms.futurecdn.net/Mr8skv235NeD5miZHHjWGg.jpg,2025-05-29T21:19:30Z,Android Central,True
"WhatsApp unlocks new revenue streams, rolls out paid subscriptions, and more","nickodiaz@sbcglobal.net (Nickolas Diaz) , Nickolas Diaz",WhatsApp detailed a major business-focused update for its Updates tab in the app.,business,https://cdn.mos.cms.futurecdn.net/fPZy2PefxExEJSKpuM9UBn.jpg,2025-06-16T17:48:08Z,Android Central,True
"ChatGPT Now Integrates with Dropbox, Google Drive for Business",Tim Hardwick,"OpenAI has announced some new productivity features for ChatGPT, adding direct integration with major cloud storage services and introducing meeting recording capabilities for business users.
The AI chatbot can now connect to Google Drive, Dropbox, OneDr…",business,https://images.macrumors.com/t/_DO3VmlEIeePypjZ61U9_WgQ3-8=/2000x/article-new/2025/04/chatgpt-logo.jpg,2025-06-05T11:52:00Z,MacRumors,True
Danny Boyle confirms Cillian Murphy will appear in the '28 Years Later' sequel,Jason Guerrasio,Danny Boyle revealed to Business Insider when Cillian Murphy will return to the zombie franchise.,business,https://i.insider.com/683edaadca50259add4d7ef7?width=1200&format=jpeg,2025-06-03T14:55:03Z,Business Insider,True
Marc Benioff-backed influencer agency Whalar Group is buying a creator startup for $20 million as M&A ramps up,"Amanda Perelli,Sydney Bradley",Whalar Group has acquired the creator coaching and education startup Business of Creativity for $20 million.,business,https://i.insider.com/68360c276ffb6822ec618bd0?width=1200&format=jpeg,2025-05-28T14:01:01Z,Business Insider,True
"All-in-One AI Platform 1minAI Is Now Almost Free, Get Lifetime Access for Up to 87% Off",Mike Fazioli,Dive into the world of Artificial Intelligence with this easy to learn all-in-one tool and watch your creativity explode.,business,https://gizmodo.com/app/uploads/2024/11/1MinAI-1.jpg,2025-05-30T22:10:04Z,Gizmodo.com,True
